nome;referencia;categoria;preco;image_url;meta_keywords;search_tags
Black Lotus;MTG-LEA-232;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/232?format=image;Black Lotus, Magic the Gathering, Alpha;Black Lotus, Magic the Gathering, Alpha
Mox Sapphire;MTG-LEA-265;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/265?format=image;Mox Sapphire, Magic the Gathering, Alpha;Mox Sapphire, Magic the Gathering, Alpha
Mox Jet;MTG-LEA-262;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/262?format=image;Mox Jet, Magic the Gathering, Alpha;Mox Jet, Magic the Gathering, Alpha
Mox Pearl;MTG-LEA-263;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/263?format=image;Mox Pearl, Magic the Gathering, Alpha;Mox Pearl, Magic the Gathering, Alpha
Mox Emerald;MTG-LEA-261;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/261?format=image;Mox Emerald, Magic the Gathering, Alpha;Mox Emerald, Magic the Gathering, Alpha
Mox Ruby;MTG-LEA-264;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/264?format=image;Mox Ruby, Magic the Gathering, Alpha;Mox Ruby, Magic the Gathering, Alpha
Ancestral Recall;MTG-LEA-047;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/47?format=image;Ancestral Recall, Magic the Gathering, Alpha;Ancestral Recall, Magic the Gathering, Alpha
Time Walk;MTG-LEA-083;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/83?format=image;Time Walk, Magic the Gathering, Alpha;Time Walk, Magic the Gathering, Alpha
Timetwister;MTG-LEA-084;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/84?format=image;Timetwister, Magic the Gathering, Alpha;Timetwister, Magic the Gathering, Alpha
Badlands;MTG-LEA-277;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/277?format=image;Badlands, Magic the Gathering, Alpha;Badlands, Magic the Gathering, Alpha
Bayou;MTG-LEA-278;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/278?format=image;Bayou, Magic the Gathering, Alpha;Bayou, Magic the Gathering, Alpha
Plateau;MTG-LEA-279;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/279?format=image;Plateau, Magic the Gathering, Alpha;Plateau, Magic the Gathering, Alpha
Savannah;MTG-LEA-280;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/280?format=image;Savannah, Magic the Gathering, Alpha;Savannah, Magic the Gathering, Alpha
Scrubland;MTG-LEA-281;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/281?format=image;Scrubland, Magic the Gathering, Alpha;Scrubland, Magic the Gathering, Alpha
Taiga;MTG-LEA-282;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/282?format=image;Taiga, Magic the Gathering, Alpha;Taiga, Magic the Gathering, Alpha
Tropical Island;MTG-LEA-283;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/283?format=image;Tropical Island, Magic the Gathering, Alpha;Tropical Island, Magic the Gathering, Alpha
Tundra;MTG-LEA-284;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/284?format=image;Tundra, Magic the Gathering, Alpha;Tundra, Magic the Gathering, Alpha
Underground Sea;MTG-LEA-285;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/285?format=image;Underground Sea, Magic the Gathering, Alpha;Underground Sea, Magic the Gathering, Alpha
Lightning Bolt;MTG-LEA-161;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/161?format=image;Lightning Bolt, Magic the Gathering, Alpha;Lightning Bolt, Magic the Gathering, Alpha
Dark Ritual;MTG-LEA-098;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/98?format=image;Dark Ritual, Magic the Gathering, Alpha;Dark Ritual, Magic the Gathering, Alpha
Giant Growth;MTG-LEA-197;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/197?format=image;Giant Growth, Magic the Gathering, Alpha;Giant Growth, Magic the Gathering, Alpha
Counterspell;MTG-LEA-054;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/54?format=image;Counterspell, Magic the Gathering, Alpha;Counterspell, Magic the Gathering, Alpha
Serra Angel;MTG-LEA-039;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/39?format=image;Serra Angel, Magic the Gathering, Alpha;Serra Angel, Magic the Gathering, Alpha
Birds of Paradise;MTG-LEA-186;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/186?format=image;Birds of Paradise, Magic the Gathering, Alpha;Birds of Paradise, Magic the Gathering, Alpha
Sol Ring;MTG-LEA-269;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/269?format=image;Sol Ring, Magic the Gathering, Alpha;Sol Ring, Magic the Gathering, Alpha
Hypnotic Specter;MTG-LEA-112;Magic the Gathering, Alpha;0.00;https://api.scryfall.com/cards/lea/112?format=image;Hypnotic Specter, Magic the Gathering, Alpha;Hypnotic Specter, Magic the Gathering, Alpha
